cource,group,stream,sex,age,ss,interest,os,weekend_study,bad_sleep,glasses,work_experience,ai,height,anime,social,sport,miss,study_form,foot_size,eye_color,score,retake,hostel,literature
4,12,Прикладная информатика,Ж,21.0,Нет,Программирование,Windows,Нет,Нет,Нет,Не работаю,Claude,175.0,Да,Интроверт,"Редко, легкая физкультура",2.0,Бюджет,38.0,Карие,6.0,0,"Нет, я из Минска",Да
4,12,Прикладная информатика,М,20.0,Нет,Программирование,Windows,Нет,Да,Да,более 2 лет,ChatGPT,177.0,Нет,Экстраверт,Вообще нет,7.0,Бюджет,42.0,Голубые,8.0,0,"Нет, я из Минска",Да
4,12,Прикладная информатика,М,20.0,Нет,Программирование,MacOS,Да,Да,Да,Меньше года,ChatGPT,174.0,Да,Интроверт,"Редко, легкая физкультура",8.0,Платная,41.0,Карие,9.0,0,"Нет, я из регионов",Нет
4,12,Прикладная информатика,Ж,20.0,Нет,Математика,Windows,Да,Нет,Да,Меньше года,DeepSeek,165.0,Да,Экстраверт,"Редко, легкая физкультура",0.0,Бюджет,38.0,Карие,9.8,0,"Нет, я из регионов",Да
4,12,Прикладная информатика,Ж,20.0,Нет,Математика,MacOS,Да,Да,Да,Не работаю,ChatGPT,164.0,Нет,Экстраверт,"Редко, легкая физкультура",4.0,Платная,38.0,Серые,8.2,0,"Нет, я из Минска",Нет
4,12,Прикладная информатика,Ж,20.0,Нет,Программирование,MacOS,Да,Нет,Нет,1-2 года,ChatGPT,173.0,Да,Интроверт,"Да, я спортсмен",8.0,Платная,39.0,Голубые,8.0,0,"Нет, я из регионов",Да
4,12,Прикладная информатика,М,21.0,Нет,Программирование,Linux,Да,Да,Да,1-2 года,Claude,175.0,Да,Экстраверт,"Редко, легкая физкультура",5.0,Бюджет,42.0,Зеленые,9.0,0,"Нет, я из регионов",Нет
4,12,Прикладная информатика,Ж,20.0,Нет,Программирование,MacOS,Да,Да,Да,Меньше года,ChatGPT,183.0,Нет,Экстраверт,"Редко, легкая физкультура",4.0,Платная,39.0,Зеленые,7.6,0,"Нет, я из Минска",Да
4,12,Прикладная информатика,М,21.0,Нет,Программирование,Windows,Нет,Да,Нет,Меньше года,Gemini,190.0,Да,Интроверт,"Редко, легкая физкультура",5.0,Платная,46.0,Серые,7.6,0,"Нет, я из регионов",Да
4,3,Информатика,М,21.0,Нет,Программирование,Windows,Да,Да,Нет,Не работаю,DeepSeek,186.0,Да,Экстраверт,"Да, я спортсмен",2.0,Бюджет,43.0,Карие,8.0,0,"Нет, я из Минска",Нет
